Screen Name,Tweets,Timeframe,Links
@WHO,"""La t month my colleague @mvankerkhove contacted a group called Long COVID SOS, repre enting patient  with long-term effect  from #COVID19. Thi  afternoon I had the privilege of  peaking with them. They told u  about their experience &amp; the ongoing challenge  they face""-@DrTedro ",2020-08-21 15:22:47,s
@WHO,Media briefing on #COVID19 with @DrTedros  ,2020-08-21 15:14:57,https://t.co/p43NqC4m7C
@WHO,"During #COVID19, WHO suggests holding events outdoors. If not possible, choose well-ventilated indoor areas.

More details 👉 ",2020-08-21 08:51:07,https://t.co/CvdA38FPNL https://t.co/qpw3eAWr0w
@WHO,"Before your event starts, you should brief guests about precautions ❗️ and remind them of these during the event. #COVID19

More details 👉 ",2020-08-21 07:55:22,https://t.co/CvdA38FPNL https://t.co/28PdWL6uXz
@WHO,"Are you organizing a small gathering or event such as a wedding 💒, a local sports match ⚽️or a party 🎉?

Follow this thread to learn about precautions you should take to prevent the spread of #COVID19 among guests.
👉 ",2020-08-21 07:25:16,https://t.co/CvdA38FPNL https://t.co/YFQC6cpDG2
@WHO,"When you attend a small gathering or event, wearing a mask 😷 could help protect you &amp; others from #COVID19 infection.

More details 👉 ",2020-08-20 16:24:32,https://t.co/CvdA38FPNL https://t.co/0CYTwiPLxs
@WHO,"If you are feeling unwell🤒, you should avoid attending any small gathering or event, and stay at home.

More details 👉 ",2020-08-20 15:44:27,https://t.co/CvdA38FPNL #COVID19 https://t.co/ikqv2kbG9J
@WHO,"Before attending any small gathering or event, you should be well informed, and comply with local regulations.

More details 👉 ",2020-08-20 14:43:08,https://t.co/CvdA38FPNL #COVID19 https://t.co/BBUQkl4j3Q
@WHO,Live Q&amp;A on #COVID19 and older people. #AskWHO  ,2020-08-20 13:39:47,https://t.co/sJ8fNvQVMi
@WHO,"It's #WorldMosquitoDay. 

FACT: #COVID19 cannot be transmitted through mosquito 🦟 bites 👉 ",2020-08-20 12:52:54,"https://t.co/TdKoGmWrIr

#KnowTheFacts https://t.co/RwnLwKU0Ls"
@WHO,"Are you attending a small gathering or event during #COVID19?

Follow this thread to learn how you can protect yourself &amp; others from getting infected with COVID-19!  ",2020-08-20 12:36:33,https://t.co/CvdA38FPNL https://t.co/BWWLUN60cn
@CDCgov,DYK: There’s no data to suggest that mosquito and tick bites spread coronaviruses. The main way that #COVID19 spreads is from person to person. Learn more:  ,2020-08-21 18:48:00,https://t.co/ewCr9zk50a. https://t.co/lCHWwsp8pF
@CDCgov,"Rhode Island child care programs that followed reopening requirements, such as limited interactions between classes and adults wearing masks, from @RIHumanServices had limited spread of #COVID19. Read more in @CDCMMWR:  ",2020-08-21 17:04:07,https://t.co/CujHB1oVnJ. @RIHEALTH https://t.co/6BVk74lozR
@CDCgov,"#Parents of children ages 0-2 years: Have you missed any well-child visits because of #COVID19? 

On Monday, August 24, ask any questions you may have about essential childhood vaccines during our Instagram Q&amp;A from 12-2pm ET.  ",2020-08-21 15:51:05,https://t.co/oT0KTQutqa
@CDCgov,A new @CDCMMWR report shows that mass testing in 16 U.S. prisons and jails identified 12 times more cases of #COVID19 than when testing was offered based on symptoms alone. Learn more:  ,2020-08-20 19:45:05,https://t.co/gelrrOusK9. https://t.co/5qMIssd5Hf
@CDCgov,New in @CDCMMWR: Learn how rigorous testing during intake and separating new incarcerated people into groups likely helped prevent a #COVID19 outbreak in correctional facilities in Puerto Rico. Learn more:  ,2020-08-20 17:45:06,https://t.co/LXapbDkSUw. https://t.co/feMDnigN5t
@CDCgov,"If you’re planning to stay with friends or family outside of your household to evacuate from #wildfires, talk with them about how you all can best protect yourselves from #COVID19. Find more safety tips here:  ",2020-08-20 16:00:32,https://t.co/2xlF9MccFt. https://t.co/9DWsSuPYqW
@CDCgov,"#HCPs: Don’t miss today’s CDC Clinician Outreach and Communication (COCA) call, “2020-2021 Influenza Vaccination Recommendations and Clinical Guidance during the COVID-19 Pandemic.” 2-3 pm ET.  ",2020-08-20 15:35:04,https://t.co/P1SvWRUeHh #COVID19 https://t.co/USJgZnBG1j
@CDCgov,"Recent case data also show that ethnic/racial minority groups are overly affected by #COVID19. Hispanic and non-White people make up 40% of the US population, but about 60% of COVID-19 cases. See more demographic trends using CDC’s COVID Data Tracker:  ",2020-08-19 21:05:41,https://t.co/MLJ56QCW37. https://t.co/sAohvE4EaI
@CDCgov,"Although the number of #COVID19 cases in most states continued to decline over the last 7 days, the rate of decline is slowing. COVID-19 is widespread in many areas &amp; 6 states reported over 10k new cases. Wear a mask, stay 6 ft from others &amp; wash your hands.  ",2020-08-19 21:05:41,https://t.co/QIbgGgcZ2X
@CDCgov,"Over half of households had additional infections after COVID-19 was introduced by a household member, finds a CDC study. Learn more:  ",2020-08-19 19:49:02,https://t.co/pN20Dpfd22. https://t.co/joFuzg4Vfx
@CDCgov,"For more information on what CDC is doing to partner with tribal communities to respond to COVID-19, visit:  ",2020-08-19 19:31:22,https://t.co/2Xjim3GaiS. https://t.co/aF7x076mBq
@CDCgov,A new report in @CDCMMWR shows that the rate of #COVID19 among American Indian and Alaska Native people was 3.5 times that of non-Hispanic white persons in the first 6 months of the pandemic in 23 states. Learn more:  ,2020-08-19 19:31:21,https://t.co/q1mmzSNE6v. https://t.co/fqOezG7jGx
@CDCgov,"With changes in food availability in some communities during the #COVID19 pandemic, you may be consuming more canned or packaged food. Tips on purchasing canned and packaged goods using the Nutrition Facts Label are available.  ",2020-08-19 18:36:02,https://t.co/nhtDhyNhJy https://t.co/KLbS5mbrBZ
@CDCgov,"To stop the spread of #COVID19, CDC will continue to work with tribal nations to ensure resources are available to maintain physical &amp; mental health (easy access to information, affordable testing, and medical and mental health care).  ",2020-08-19 17:45:01,https://t.co/0cLnmzAYNm https://t.co/QHFiqaWLwJ
@CovidIndiaSeva,Kindly refer to the following link for #COVID19 stats for #Gujarat:  ,2020-08-21 17:39:00,"https://t.co/giAlsRMmex

#COVID__19 #COVID #COVID_19 #COVIDー19 #COVID19India #COVIDUpdates #CoronaUpdates #Corona #coronavirus #CoronavirusIndia #CoronavirusUpdates #CoronavirusPandemic https://t.co/ffHMpkRHfd"
@CovidIndiaSeva,"As of today, there are 1549 Dedicated #COVID19 hospitals, 3092 Dedicated #COVID Health Centres, 11,555 #COVID_19 Care Centres, and 12,949 #QuarantineCentres

#COVID__19 #COVIDー19 #COVIDUpdates #CoronaUpdates #coronavirus #CoronavirusIndia #CoronavirusUpdates #CoronavirusPandemic  ",2020-08-21 16:26:00,https://t.co/6vawRQI0Ph
@CovidIndiaSeva,"The yellow colour on @SetuAarogya signifies moderate risk of infection. You are advised to follow instructions on the screen, self-quarantine &amp; isolation and to monitor your health. Do continue to take precautions and contact 1075 for assistance.

#COVID19 #COVID_19 #COVID19India  ",2020-08-21 16:10:00,https://t.co/QIKfi7QIoO
@CovidIndiaSeva,"You are advised to consult a doctor in nearby health facility in-person or via #telemedicine service to get the correct diagnosis of the symptoms.

You may also contact Delhi #COVID19 helpline numbers for assistance: 011-22391014 / 22302441 / 22307133 / 22304568 / 22307745  ",2020-08-21 15:51:00,https://t.co/g0ka0UBSq6
@CovidIndiaSeva,@saikumart017 @MoHFW_INDIA @WHO @PMOIndia @drharshvardhan @AshwiniKChoubey @PIB_India @COVIDNewsByMIB @DDNewslive @airnewsalerts @PTI_News @ani_digital You may refer to the #Telangana media bulletin for daily #COVID19 updates here:   ,2020-08-21 15:42:10,https://t.co/LmIAabLMJI
@CovidIndiaSeva,"The #novel #coronavirus is a new virus and various studies are underway on various aspects to know more about this virus. But, as of now, there’s no evidence reported that virus can spread by perspiration.

#Covid_19 #COVIDー19 #coronaupdatesindia #CoronaVirusUpdates #coronavirus  ",2020-08-21 14:34:00,https://t.co/8yZDLzyACu
@CovidIndiaSeva,"As of today (8AM), #Maharashtra has the highest no. of active #COVID19 cases (1,62,806).

#COVID__19 #COVID #COVID_19 #COVIDー19 #COVID19India #COVIDUpdates #CoronaUpdates #Corona #coronavirus #CoronavirusIndia #CoronavirusUpdates #CoronavirusPandemic  ",2020-08-21 14:00:01,https://t.co/f4ciyZFWkB
@CovidIndiaSeva,"Acc to @MoHFW_INDIA, #COVID19 #RecoveryRate and #FatalityRate are 74.30% and 1.89% respectively as on 21st August, 2020 (till 6PM).

#COVID__19 #COVID #COVID_19 #COVIDー19 #COVIDUpdates #CoronaUpdates #Corona #coronavirus #CoronavirusIndia #CoronavirusUpdates #CoronavirusPandemic  ",2020-08-21 13:24:11,https://t.co/e2gZ5Er1BZ
@CovidIndiaSeva,"Identity of persons is not disclosed on @SetuAarogya app. However, in case, you come in contact with a #COVID19 case, you will be notified via #AarogyaSetu app along with the date, time &amp; approximate location &amp; duration of such contacts.

#COVID__19 #COVID #COVID_19 #COVIDー19  ",2020-08-21 12:50:29,https://t.co/MDSQDbUtmP
@CovidIndiaSeva,"...delirium, &amp; absence of fever. Children might not have reported fever or cough as frequently as adults. Children might not have reported fever or cough as frequently as adults:  ",2020-08-21 11:02:54,"https://t.co/HtiPH2KXcO

#COVID__19 #COVID_19 #COVIDー19 #COVID19India #coronavirus #CoronavirusIndia"
@CovidIndiaSeva,"Acc to @MoHFW_INDIA's Clinical Management Protocol for #COVID19, patients reporting to various #COVID treatment facilities have mentioned signs &amp; symptoms like fever, cough, fatigue, shortness of breath, expectoration/ sputum, myalgia /muscle pain, rhinorrhea/runny nose...
(1/3)  ",2020-08-21 11:02:53,https://t.co/g0Dbn96kQr
@CovidIndiaSeva,"The patient is still responsible for his/her own breathing. Unlike the ventilator, oxygen therapy will not aid in respiration.
#COVID19 #COVID__19 #COVID #COVID_19 #COVIDー19 #COVID19India #Corona #coronavirus #CoronavirusIndia #CoronavirusUpdates #CoronavirusPandemic
(4/4 ",2020-08-21 07:49:44,)
@CovidIndiaSeva,"Before finalizing your itinerary, you are advised to  onta t the State  ontrol room for details: 0135 -2722100, 9557194828, 8476824218, 9536099082, 7017082637

#COVID__19 #COVID_19 #COVIDー19 #COVID19India # oronavirus #CoronavirusIndia #CoronavirusUpdates #CoronavirusPandemi ",2020-08-21 06:56:22,c
@CovidIndiaSeva,#Asymptomatic tourists without #COVID negative certificate can enter the state but should have a minimum booking for 7 days in a hotel  They will have to stay within the premises of the same hotel for 7 days before they visit public places across the state ,2020-08-21 06:56:21,.
@CovidIndiaSeva,"Many studies are going on to understand the immune system response to #novel #coronavirus infection, reinfection, &amp; relapse of #COVID_19. 
However, as of today, there is no evidence to prove or disprove that people can once again become #COVID19 positive after recovery.  ",2020-08-20 18:01:00,https://t.co/8cRvtZ9KEj
@CovidIndiaSeva,"Kindly consult a doctor for assistance. You may also use eSanjeevaniOPD, a completely free #telemedicine service by 
@MoHFW_INDIA:  ",2020-08-20 17:39:00,"https://t.co/qBVAtDMsKJ

#COVID19 #COVID__19 #COVID #COVID_19 #COVIDー19 #coronavirus #CoronavirusIndia #CoronavirusUpdates #CoronavirusPandemic https://t.co/Xa6ENvRoOu"
@CovidIndiaSeva,Kindly refer to the following link for the #UttarPradesh  Govt. order for #Ivermectin:  ,2020-08-20 16:45:00,"https://t.co/aMXwCTQtvH

#COVID19 #COVID__19 #COVID #COVID_19 #COVIDー19 #COVID19India #COVIDUpdates #CoronaUpdates #coronavirus #CoronavirusIndia #CoronavirusUpdates #CoronavirusPandemic https://t.co/UwW7GB40oZ"
@CovidIndiaSeva,You may also contact #Nalbari District #COVID19 control room for assistance 03624-220219/1077(Toll-Free):  ,2020-08-20 16:20:51,"https://t.co/LZ84gYVdnC

#COVID__19 #COVID #COVID_19 #COVIDー19 #COVID19India #Corona #coronavirus #CoronavirusIndia #CoronavirusUpdates #CoronavirusPandemic"
@CovidIndiaSeva,"Kindly contact the 24x7 National #CGHS toll-free helpline regarding the issue: 18002088900
 ",2020-08-20 15:43:27,"https://t.co/MNqi97KBiP

#COVID19 #COVID__19 #COVID #COVID_19 #COVIDー19 #COVID19India #Corona #coronavirus #CoronavirusIndia #CoronavirusUpdates #CoronavirusPandemic https://t.co/Ld45DqoPBT"
@CovidIndiaSeva,"The symptoms of #COVID19 are Fever, Cough, Fatigue, breathlessness, running nose, sore throat, loss of smell/taste etc:  ",2020-08-20 14:19:00,"https://t.co/HtiPH32yBo
You are advised to monitor your health &amp; consult a doctor (in-person or via #telemedicine) or call 1075 /+91-11-23978046 for assistance. https://t.co/AEuX84mr0s"
@CovidIndiaSeva,"For #COVID19 information &amp; bed availability, kindly contact your ward control room.

#Mumbai #Maharashtra #COVID__19 #COVID #COVID_19 #COVIDー19 #COVID19India #COVIDUpdates #CoronaUpdates #Corona #coronavirus #CoronavirusIndia #CoronavirusUpdates #CoronavirusPandemic  ",2020-08-20 13:45:00,https://t.co/p5OdgMsthU https://t.co/hbxKma5GOz
@CovidIndiaSeva,Kindly refer to the link for #Pune #epass:  ,2020-08-20 12:22:28,"https://t.co/kWVkO1tub5
However, before finalizing your itinerary kindly contact Pune District Helpline 1800-1030-222 and #Ahmedabad District Administration for details: 079-25353858

#Maharashtra #Gujarat #COVID19 #COVID #COVID_19 https://t.co/zqqeILTbff"
@CovidIndiaSeva,"Acc to @MoHFW_INDIA guidelines, there is no second #COVID_19 test for mild/very mild/pre-symptomatic/asymptomatic cases.
Only severe #COVID19 cases including immune-compromised patients are tested (after the resolution of symptoms) before discharge:  ",2020-08-20 10:29:00,https://t.co/c5fui6CYvB https://t.co/8Wq2yP9RzY
@CovidIndiaSeva,Kindly refer to the following link for @MoCA_GoI state-wise #quarantine guidelines:  ,2020-08-20 09:59:11,"https://t.co/KznCyfX70Q
However, it is advised that you connect with the airlines for any quarantine updates before finalizing your itinerary

#COVID19 #COVID__19 #COVID_19 #COVIDー19 #coronavirus https://t.co/56VIMx3hKv"
@COVID19_USA_,531 new recoveries from COVID-19 so far today in the US ,2020-04-08 19:50:35,.
@COVIDNewsByMIB,"#IndiaFightsCorona:

📍Experts from #AIIMS, Delhi share basic steps on #handwashing  to fight against #COVID19. 

➡️ ",2020-08-21 15:50:23,"https://t.co/bI61f0jPpz

@drharshvardhan @PIB_India @DDNewslive @UNICEFIndia @UNinIndia
 
Via @MoHFW_INDIA https://t.co/qRRxEQxkUZ"
@COVIDNewsByMIB,"#IndiaFightsCorona:

Do's and Don'ts for sanitation workers during #COVID19 👇

#StaySafe #IndiaWillWin  ",2020-08-21 15:26:32,https://t.co/u01rVBbleZ
@COVIDNewsByMIB,"#IndiaFightsCorona:

📍Follow simple #Handwashing  steps to prevent the spread of #COVID19. 

#StaySafe #WeWillWin 

@MoHFW_INDIA @DDNewslive @airnewsalerts @MinistryWCD @PrakashJavdekar @UNICEFIndia
 
Via @UNinIndia  ",2020-08-21 14:40:41,https://t.co/oawNz9hD1A
@COVIDNewsByMIB,"#IndiaFightsCorona: 

Election Commission of India approved the broad guidelines for conduct of general/bye elections during #COVID19 period. 

These are available at:  ",2020-08-21 13:46:32,"https://t.co/eteSNOqc2F

Read Details: https://t.co/YyivMUayzO 

@ECISVEEP @drharshvardhan @PIBHomeAffairs"
@COVIDNewsByMIB,"#IndiaFightsCorona: 

Rumours mislead you, #facts protect you. 

Fight the Infodemic of #COVID19 with facts.

❌Do NOT forward unverified texts.
✅Cross-check from authentic sources. 

Be a #CovidWarriors, not a Rumour Monger.

@PrakashJavdekar @MoHFW_INDIA @PIB_India @DDNewslive  ",2020-08-21 13:20:14,https://t.co/Bdb7uhax5W
@COVIDNewsByMIB,"#IndiaFightsCorona: 

📍Guidelines for Care-Givers
➡️Ensure that the patient follows prescribed treatment
➡️Self-monitor daily temperature &amp; report promptly in case of any #COVID19 symptoms
➡️Encourage all close contacts of the patient to self monitor &amp; report in case of symptoms  ",2020-08-21 12:35:11,https://t.co/IUONH3Rc0q
@COVIDNewsByMIB,"#IndiaFightsCorona:

📍How to shop groceries safely during #COVID19❓❓❓

➡️Keep distance from others- #PhysicalDistancing 
➡️Avoid touching your eyes, mouth and nose
➡️Sanitize the handles of shopping trolleys or baskets

#StaySafe #IndiaWillWin

@fssaiindia  ",2020-08-21 11:59:44,https://t.co/DOzXLAi4Sd
@COVIDNewsByMIB,"#IndiaFightsCorona: 

📍Caring for children during #COVID19. 

➡️Educate your child
➡️Provide them sensitive and caring environment
➡️Help them in connecting with family &amp; friends 
➡️Maintain family routine 
➡️Be a role-model for your child

@MoHFW_INDIA @UN 

Via @WHOSEARO  ",2020-08-21 11:44:49,https://t.co/6kLnPliAFE
@COVIDNewsByMIB,"#IndiaFightsCorona: 

@ECISVEEP issues broad guidelines for conduct of General/Bye elections during #COVID19 period. 

These are available at:  ",2020-08-21 11:29:05,"https://t.co/7R59GPFOPg

@PrakashJavdekar @PIB_India @DDNewslive https://t.co/KtEj5oSe3d"
@COVIDNewsByMIB,"#IndiaFightsCorona: 

In an ongoing effort to use its technical expertise to help curtail the spread of #COVID19, Industrial Training Institute,  Berhampur has registered three of its innovative products developed to fight against the novel Coronavirus in the patent journal ",2020-08-21 11:19:40,.
@COVIDNewsByMIB,"#IndiaFightsCorona: 

Think and check before sharing any #COVID19 related news or information. 

Remember that false information on #COVID is spreading &amp; putting people in danger.

#StaySafe #IndiaWillWin #StopTheSpread 

@drharshvardhan @MoHFW_INDIA @airnewsalerts
 
Via @WHO  ",2020-08-21 10:49:06,https://t.co/Nr2asqJ0Ma
@COVIDNewsByMIB,"#IndiaFightsCorona:

📍Verified information allows us to make better decisions against #COVID19.

▶️Share content that is true and relevant. 

Fight against 'Infodemic' 

#StayAwareStaySafe 

@PrakashJavdekar @UNinIndia @DDNewslive @MoHFW_INDIA @UN

Via @UNDP_India, @UNESCO  ",2020-08-21 10:15:00,https://t.co/56A6ivOZoA
@COVIDNewsByMIB,"#IndiaFightsCorona: 

📍Tips for helping people deal with #COVID19 
➡️How to stay calm during #COVID19Pandemic❓

📍Tips for helping children deal with #COVIDー19 
➡️How can we help children cope with this difficult situation❓

#StaySafe #IndiaWillWin  ",2020-08-21 09:53:03,https://t.co/MLeGbp7RGd
@COVIDNewsByMIB,"#IndiaFightsCorona:

📍If you have already defeated #COVID19, a noble job is awaiting for you. 

✅Be a #plasmadonor, save lives.

#StaySafe #IndiaWillWin
#Plasmawarrior

Via @mygovassam  ",2020-08-21 09:38:05,https://t.co/WP7KmB08cz
@COVIDNewsByMIB,"#IndiaFightsCorona: 

Avoid 3️⃣ 'Cs'

There are certain places where #COVID19 spreads more easily:

1️⃣ Crowded places
2️⃣ Close-contact settings
3️⃣ Confined and enclosed spaces

#StaySafe #IndiaWillWin 

Via @WHO  ",2020-08-21 09:21:59,https://t.co/Sqri4Z9vMp
@COVIDNewsByMIB,"#CoronaFacts:

📍Can Thermal Scanners detect #COVID19 infected people ❓❓❓

↗️ No, thermal scanners don't detect #COVID infected people. They just detect body temperature. 

#MythBuster #IndiaFightsCorona #StaySafeStayHealthy  ",2020-08-21 09:01:27,https://t.co/JMz1egXETX
@COVIDNewsByMIB,"#IndiaFightsCorona:

It can detect a number of infections in precise &amp; efficient manner, besides making detection of #COVID19 infection less costly

Details :  ",2020-08-21 08:50:52,"https://t.co/AqhYRpK2cy

@MoHFW_INDIA @drharshvardhan
@PrakashJavdekar @PIB_India @DDNewslive

#StaySafe #IndiaWillWin"
@COVIDNewsByMIB,"#IndiaFightsCorona:

Study initiated for low cost #COVID19 detection kit suitable for storage in less stringent conditions in rural areas

Researchers are developing an aptamer-based diagnostic kit for detection of SARS-Co-V2 infection.

#StaySafe #IndiaWillWin  ",2020-08-21 08:48:44,https://t.co/HAEfh4O7hO
@COVIDNewsByMIB,"#IndiaFightsCorona:

The gap between recovered patients and active COVID-19 cases has increased and reached 14,66,918 today. 

Details :  ",2020-08-21 08:45:16,"https://t.co/4oBlUwHA3R

@MoHFW_INDIA @drharshvardhan @PrakashJavdekar @PIB_India @DDNewslive 

#StaySafe #IndiaWillWin"
@COVIDNewsByMIB,"#IndiaFightsCorona:

📍Can shoes 👠 spread #COVID19 virus❓❓❓

↗️The likelihood of #COVID19 being spread on shoes and individual is very low.

#StaySafe #IndiaWillWin  ",2020-08-21 07:53:34,https://t.co/pKR10D87N5
@COVIDNewsByMIB,"#IndiaFightsCorona:

📍Keep Calm and Mask On 

Don't pull down your mask😷, even while speaking❗ 

Why❓

➡️Tiny droplets get released while speaking, increasing risk of #COVID19 spread. 

#StaySafe #IndiaWillWin  ",2020-08-21 07:38:36,https://t.co/udXDKvJEDl
@COVIDNewsByMIB,"#IndiaFightsCorona: 

📍Important guidelines for Staff and Visitors in Banks/ ATMs to prevent the spread of #COVID19. 

#StaySafe #IndiaWillWin  ",2020-08-21 07:08:18,https://t.co/hokqeFYU9E
@COVIDNewsByMIB,"#IndiaFightsCorona:

📍Minding our minds during #COVID19 

▶️Don't stigmatise people with #COVID: Maintain a safe physical distance, but remember that they need our care and concern.

#StaySafe #IndiaWillWin #BreakTheStigma  ",2020-08-21 06:40:56,https://t.co/0hV5JKSHlg
@COVIDNewsByMIB,"#IndiaFightsCorona: 

📍Tips for helping people deal with #COVID19 

➡️How to stay calm during #COVID19Pandemic❓❓❓

#StaySafe #IndiaWillWin  ",2020-08-21 06:20:58,https://t.co/qgFT9kvoc7
@COVIDNewsByMIB,"#IndiaFightsCorona:

#COVID19 labs in India (As on August 20, 2020)👇

#StaySafe #IndiaWillWin  ",2020-08-21 05:59:43,https://t.co/W5lUJYn5fs
@MoHFW_INDIA,"Committed towards finding engaging ways to promote COVID Appropriate Behaviours, Hon’ble HFM @drharshvardhan launched an online game - The Corona Fighters available on  ",2020-08-21 11:29:26,"https://t.co/KJBscBZ2YY 

#TogetherAgainstCovid19 #IndiaFightsCorona 
@PMOIndia @AshwiniKChoubey @PIB_India https://t.co/bdQaK34rmC"
@MoHFW_INDIA,"#IndiaFightsCorona

While using public transport, always follow COVID Appropriate Behaviours.  

#BadalkarApnaVyavaharKareinCoronaParVaar #TogetherAgainstCovid19  ",2020-08-21 08:24:06,https://t.co/PJYThuRiLg
@MoHFW_INDIA,"#IndiaFightsCorona

The practise of disinfecting frequently touched surfaces every day, is important to stay safe from COVID-19.

 #BadalkarApnaVyavaharKareinCoronaParVaar #TogetherAgainstCovid19  ",2020-08-21 06:34:27,https://t.co/f5Ufj6E3Xr
